,Stationing,Rise (in),type,cable
111,163939.0,0.0,DiffMIN,DiffMIN
112,163940.0,0.0,DiffMIN,DiffMIN
113,163941.0,0.0,DiffMIN,DiffMIN
114,163942.0,0.0,DiffMIN,DiffMIN
115,163943.0,0.0,DiffMIN,DiffMIN
116,163944.0,0.0,DiffMIN,DiffMIN
117,163945.0,0.0,DiffMIN,DiffMIN
118,163946.0,0.0,DiffMIN,DiffMIN
119,163947.0,0.0,DiffMIN,DiffMIN
120,163948.0,0.0,DiffMIN,DiffMIN
121,163949.0,0.0,DiffMIN,DiffMIN
122,163950.0,0.0,DiffMIN,DiffMIN
123,163951.0,0.0,DiffMIN,DiffMIN
124,163952.0,0.0,DiffMIN,DiffMIN
125,163953.0,0.0,DiffMIN,DiffMIN
126,163954.0,0.0,DiffMIN,DiffMIN
127,163955.0,0.0,DiffMIN,DiffMIN
128,163956.0,0.0,DiffMIN,DiffMIN
129,163957.0,0.0,DiffMIN,DiffMIN
130,163958.0,0.0,DiffMIN,DiffMIN
131,163959.0,0.0,DiffMIN,DiffMIN
132,163960.0,0.0,DiffMIN,DiffMIN
133,163961.0,0.0,DiffMIN,DiffMIN
134,163962.0,0.0,DiffMIN,DiffMIN
135,163963.0,0.0,DiffMIN,DiffMIN
136,163964.0,0.0,DiffMIN,DiffMIN
137,163965.0,0.0,DiffMIN,DiffMIN
138,163966.0,0.0,DiffMIN,DiffMIN
139,163967.0,0.0,DiffMIN,DiffMIN
140,163968.0,0.0,DiffMIN,DiffMIN
141,163969.0,0.0,DiffMIN,DiffMIN
142,163970.0,0.0,DiffMIN,DiffMIN
143,163971.0,0.0,DiffMIN,DiffMIN
144,163972.0,0.0,DiffMIN,DiffMIN
145,163973.0,0.0,DiffMIN,DiffMIN
146,163974.0,0.0,DiffMIN,DiffMIN
147,163975.0,0.0,DiffMIN,DiffMIN
148,163976.0,0.0,DiffMIN,DiffMIN
149,163977.0,0.0,DiffMIN,DiffMIN
150,163978.0,0.0,DiffMIN,DiffMIN
151,163979.0,0.0,DiffMIN,DiffMIN
152,163980.0,0.0,DiffMIN,DiffMIN
153,163981.0,0.0,DiffMIN,DiffMIN
154,163982.0,0.0,DiffMIN,DiffMIN
155,163983.0,0.0,DiffMIN,DiffMIN
156,163984.0,0.0,DiffMIN,DiffMIN
157,163985.0,0.0,DiffMIN,DiffMIN
158,163986.0,0.0,DiffMIN,DiffMIN
159,163987.0,0.0,DiffMIN,DiffMIN
160,163988.0,0.0,DiffMIN,DiffMIN
161,163989.0,0.0,DiffMIN,DiffMIN
162,163990.0,0.0,DiffMIN,DiffMIN
163,163991.0,0.0,DiffMIN,DiffMIN
164,163992.0,0.0,DiffMIN,DiffMIN
165,163993.0,0.0,DiffMIN,DiffMIN
166,163994.0,0.0,DiffMIN,DiffMIN
167,163995.0,0.0,DiffMIN,DiffMIN
168,163996.0,0.0,DiffMIN,DiffMIN
169,163997.0,0.0,DiffMIN,DiffMIN
170,163998.0,0.0,DiffMIN,DiffMIN
171,163999.0,0.0,DiffMIN,DiffMIN
172,164000.0,0.0,DiffMIN,DiffMIN
173,164001.0,0.0,DiffMIN,DiffMIN
174,164002.0,0.0,DiffMIN,DiffMIN
175,164003.0,0.0,DiffMIN,DiffMIN
176,164004.0,0.0,DiffMIN,DiffMIN
177,164005.0,0.0,DiffMIN,DiffMIN
178,164006.0,0.0,DiffMIN,DiffMIN
179,164007.0,0.0,DiffMIN,DiffMIN
180,164008.0,0.0,DiffMIN,DiffMIN
181,164009.0,0.0,DiffMIN,DiffMIN
182,164010.0,0.0,DiffMIN,DiffMIN
183,164011.0,0.0,DiffMIN,DiffMIN
184,164012.0,0.0,DiffMIN,DiffMIN
0,163828.0,0.8773678192210923,DiffMAX,DiffMAX
1,163829.0,0.8747262066921166,DiffMAX,DiffMAX
2,163830.0,0.8705612111086225,DiffMAX,DiffMAX
3,163831.0,0.8617682037516801,DiffMAX,DiffMAX
4,163832.0,0.8483471846212893,DiffMAX,DiffMAX
5,163833.0,0.8302981537174929,DiffMAX,DiffMAX
6,163834.0,0.8076211110402909,DiffMAX,DiffMAX
7,163835.0,0.7803160565895553,DiffMAX,DiffMAX
8,163836.0,0.7483829903654566,DiffMAX,DiffMAX
9,163837.0,0.7118219576053235,DiffMAX,DiffMAX
10,163838.0,0.6706328560745618,DiffMAX,DiffMAX
11,163839.0,0.6248157418381481,DiffMAX,DiffMAX
12,163840.0,0.5743706587726649,DiffMAX,DiffMAX
13,163841.0,0.5960039186980737,DiffMAX,DiffMAX
14,163842.0,0.675281031924456,DiffMAX,DiffMAX
15,163843.0,0.7500671360409825,DiffMAX,DiffMAX
16,163844.0,0.8203622310476106,DiffMAX,DiffMAX
17,163845.0,0.8861663169442977,DiffMAX,DiffMAX
18,163846.0,0.9474793937310437,DiffMAX,DiffMAX
19,163847.0,1.004301461407934,DiffMAX,DiffMAX
20,163848.0,1.0566325199748405,DiffMAX,DiffMAX
21,163849.0,1.1044725694318913,DiffMAX,DiffMAX
22,163850.0,1.147821609779001,DiffMAX,DiffMAX
23,163851.0,1.1866796410162124,DiffMAX,DiffMAX
24,163852.0,1.2210466631434826,DiffMAX,DiffMAX
25,163853.0,1.2509226761608119,DiffMAX,DiffMAX
26,163854.0,1.2763076800682853,DiffMAX,DiffMAX
27,163855.0,1.297201674865775,DiffMAX,DiffMAX
28,163856.0,1.313604660553409,DiffMAX,DiffMAX
29,163857.0,1.3255166371311873,DiffMAX,DiffMAX
30,163858.0,1.3329376045988965,DiffMAX,DiffMAX
31,163859.0,1.3358675629567927,DiffMAX,DiffMAX
32,163860.0,1.3354378802997218,DiffMAX,DiffMAX
33,163861.0,1.3316313249927276,DiffMAX,DiffMAX
34,163862.0,1.3233337605757924,DiffMAX,DiffMAX
35,163863.0,1.3105451870489588,DiffMAX,DiffMAX
36,163864.0,1.2932656044122268,DiffMAX,DiffMAX
37,163865.0,1.2714950126655538,DiffMAX,DiffMAX
38,163866.0,1.2452334118089823,DiffMAX,DiffMAX
39,163867.0,1.2144808018424698,DiffMAX,DiffMAX
40,163868.0,1.2433062943362785,DiffMAX,DiffMAX
41,163869.0,1.3121015813284629,DiffMAX,DiffMAX
42,163870.0,1.3762481587469466,DiffMAX,DiffMAX
43,163871.0,1.435746026591687,DiffMAX,DiffMAX
44,163872.0,1.4905951848627268,DiffMAX,DiffMAX
45,163873.0,1.5407956335601085,DiffMAX,DiffMAX
46,163874.0,1.5863473726837043,DiffMAX,DiffMAX
47,163875.0,1.6272504022335994,DiffMAX,DiffMAX
48,163876.0,1.6635047222097938,DiffMAX,DiffMAX
49,163877.0,1.6951103326122876,DiffMAX,DiffMAX
50,163878.0,1.7362808910621652,DiffMAX,DiffMAX
51,163879.0,1.7588020374008408,DiffMAX,DiffMAX
52,163880.0,1.7767051729275778,DiffMAX,DiffMAX
53,163881.0,1.789990297642376,DiffMAX,DiffMAX
54,163882.0,1.798672837274495,DiffMAX,DiffMAX
55,163883.0,1.802721708235751,DiffMAX,DiffMAX
56,163884.0,1.8028235338949514,DiffMAX,DiffMAX
57,163885.0,1.799945391277916,DiffMAX,DiffMAX
58,163886.0,1.792449239608814,DiffMAX,DiffMAX
59,163887.0,1.7803350788875605,DiffMAX,DiffMAX
60,163888.0,1.7636029091141978,DiffMAX,DiffMAX
61,163889.0,1.7422527302886408,DiffMAX,DiffMAX
62,163890.0,1.7162845424110174,DiffMAX,DiffMAX
63,163891.0,1.6856983454812422,DiffMAX,DiffMAX
64,163892.0,1.650494139499358,DiffMAX,DiffMAX
65,163893.0,1.610671924465322,DiffMAX,DiffMAX
66,163894.0,1.6251005805979872,DiffMAX,DiffMAX
67,163895.0,1.6840566236659384,DiffMAX,DiffMAX
68,163896.0,1.7385527585157092,DiffMAX,DiffMAX
69,163897.0,1.7885889851474275,DiffMAX,DiffMAX
70,163898.0,1.834165303561008,DiffMAX,DiffMAX
71,163899.0,1.8752817137564506,DiffMAX,DiffMAX
72,163900.0,1.9119382157338407,DiffMAX,DiffMAX
73,163901.0,1.944134809493093,DiffMAX,DiffMAX
74,163902.0,1.9718714950342076,DiffMAX,DiffMAX
75,163903.0,1.995149957360809,DiffMAX,DiffMAX
76,163904.0,2.013966795957529,DiffMAX,DiffMAX
77,163905.0,2.028323726614886,DiffMAX,DiffMAX
78,163906.0,2.038220749332794,DiffMAX,DiffMAX
79,163907.0,2.0436578641113385,DiffMAX,DiffMAX
80,163908.0,2.044635070950477,DiffMAX,DiffMAX
81,163909.0,2.043268106429082,DiffMAX,DiffMAX
82,163910.0,2.037555451359111,DiffMAX,DiffMAX
83,163911.0,2.027382888349777,DiffMAX,DiffMAX
84,163912.0,2.012750417401037,DiffMAX,DiffMAX
85,163913.0,1.993658038512848,DiffMAX,DiffMAX
86,163914.0,1.970105751685253,DiffMAX,DiffMAX
87,163915.0,1.9420935569182944,DiffMAX,DiffMAX
88,163916.0,1.9096214542118872,DiffMAX,DiffMAX
89,163917.0,1.8726894435661166,DiffMAX,DiffMAX
90,163918.0,1.831297524981025,DiffMAX,DiffMAX
91,163919.0,1.785445698456357,DiffMAX,DiffMAX
92,163920.0,1.7351339639924106,DiffMAX,DiffMAX
93,163921.0,1.7340682899585715,DiffMAX,DiffMAX
94,163922.0,1.782714987963601,DiffMAX,DiffMAX
95,163923.0,1.8269017779602024,DiffMAX,DiffMAX
96,163924.0,1.866628659948205,DiffMAX,DiffMAX
97,163925.0,1.901895633927822,DiffMAX,DiffMAX
98,163926.0,1.9327026998987549,DiffMAX,DiffMAX
99,163927.0,1.959049857861217,DiffMAX,DiffMAX
100,163928.0,1.9809371078151656,DiffMAX,DiffMAX
101,163929.0,1.9983644497605582,DiffMAX,DiffMAX
102,163930.0,2.011331883697437,DiffMAX,DiffMAX
103,163931.0,2.01983940962576,DiffMAX,DiffMAX
104,163932.0,2.0238870275456122,DiffMAX,DiffMAX
105,163933.0,2.0240552669406355,DiffMAX,DiffMAX
106,163934.0,2.021413022847611,DiffMAX,DiffMAX
107,163935.0,2.0143108707461153,DiffMAX,DiffMAX
108,163936.0,2.0027488106360636,DiffMAX,DiffMAX
109,163937.0,1.9867268425174984,DiffMAX,DiffMAX
110,163938.0,1.9662449663904624,DiffMAX,DiffMAX
111,163939.0,1.941303182254785,DiffMAX,DiffMAX
112,163940.0,1.9119014901106794,DiffMAX,DiffMAX
113,163941.0,1.878039889957975,DiffMAX,DiffMAX
114,163942.0,1.8397183817967573,DiffMAX,DiffMAX
115,163943.0,1.7969369656270686,DiffMAX,DiffMAX
116,163944.0,1.7496956414487812,DiffMAX,DiffMAX
117,163945.0,1.6979944092619377,DiffMAX,DiffMAX
118,163946.0,1.641833269066666,DiffMAX,DiffMAX
119,163947.0,1.5812122208627954,DiffMAX,DiffMAX
120,163948.0,1.5646595732961117,DiffMAX,DiffMAX
121,163949.0,1.6028158833462243,DiffMAX,DiffMAX
122,163950.0,1.6363541697864434,DiffMAX,DiffMAX
123,163951.0,1.6652744326169397,DiffMAX,DiffMAX
124,163952.0,1.6895787380386622,DiffMAX,DiffMAX
125,163953.0,1.7092628819783187,DiffMAX,DiffMAX
126,163954.0,1.7243290035680872,DiffMAX,DiffMAX
127,163955.0,1.7290564958859989,DiffMAX,DiffMAX
128,163956.0,1.7406406737276114,DiffMAX,DiffMAX
129,163957.0,1.7418515661214542,DiffMAX,DiffMAX
130,163958.0,1.740533958958963,DiffMAX,DiffMAX
131,163959.0,1.734817848606511,DiffMAX,DiffMAX
132,163960.0,1.7244837364231813,DiffMAX,DiffMAX
133,163961.0,1.7095316224089316,DiffMAX,DiffMAX
134,163962.0,1.6899615065638045,DiffMAX,DiffMAX
135,163963.0,1.6657733888877573,DiffMAX,DiffMAX
136,163964.0,1.621530127700126,DiffMAX,DiffMAX
137,163965.0,1.5882251713305209,DiffMAX,DiffMAX
138,163966.0,1.5502715278225168,DiffMAX,DiffMAX
139,163967.0,1.5076691971761136,DiffMAX,DiffMAX
140,163968.0,1.460418179391226,DiffMAX,DiffMAX
141,163969.0,1.4085184744679822,DiffMAX,DiffMAX
142,163970.0,1.351970082406254,DiffMAX,DiffMAX
143,163971.0,1.2907730032061693,DiffMAX,DiffMAX
144,163972.0,1.2249272368675577,DiffMAX,DiffMAX
145,163973.0,1.1544327833905896,DiffMAX,DiffMAX
146,163974.0,1.1234824279099058,DiffMAX,DiffMAX
147,163975.0,1.1526444383202659,DiffMAX,DiffMAX
148,163976.0,1.1773169287291694,DiffMAX,DiffMAX
149,163977.0,1.197499899136787,DiffMAX,DiffMAX
150,163978.0,1.2131933495430332,DiffMAX,DiffMAX
151,163979.0,1.2243972799479081,DiffMAX,DiffMAX
152,163980.0,1.2311116903514545,DiffMAX,DiffMAX
153,163981.0,1.2333365807536723,DiffMAX,DiffMAX
154,163982.0,1.2326082533386113,DiffMAX,DiffMAX
155,163983.0,1.2280988637387509,DiffMAX,DiffMAX
156,163984.0,1.2190999541375191,DiffMAX,DiffMAX
157,163985.0,1.2056115245350014,DiffMAX,DiffMAX
158,163986.0,1.1876335749310698,DiffMAX,DiffMAX
159,163987.0,1.1651661053258096,DiffMAX,DiffMAX
160,163988.0,1.1382091157192207,DiffMAX,DiffMAX
161,163989.0,1.1067626061113032,DiffMAX,DiffMAX
162,163990.0,1.0708265765019718,DiffMAX,DiffMAX
163,163991.0,1.0304010268913117,DiffMAX,DiffMAX
