,Stationing,Elevation,type
0,162297.0,20.00680481060606,CW
1,162298.0,20.00788507820137,CW
2,162299.0,20.009287467008797,CW
3,162300.0,20.011011977028346,CW
4,162301.0,20.013058608260017,CW
5,162302.0,20.01542736070381,CW
6,162303.0,20.018118234359726,CW
7,162304.0,20.02113122922776,CW
8,162305.0,20.024466345307918,CW
9,162306.0,20.028123582600195,CW
10,162307.0,20.032102941104593,CW
11,162308.0,20.036404420821114,CW
12,162309.0,20.041028021749753,CW
13,162310.0,20.045973743890517,CW
14,162311.0,20.033967837243402,CW
15,162312.0,20.022284051808406,CW
16,162313.0,20.01092238758553,CW
17,162314.0,19.999882844574778,CW
18,162315.0,19.989165422776146,CW
19,162316.0,19.978770122189637,CW
20,162317.0,19.96869694281525,CW
21,162318.0,19.95894588465298,CW
22,162319.0,19.949516947702833,CW
23,162320.0,19.940410131964807,CW
24,162321.0,19.931625437438903,CW
25,162322.0,19.92316286412512,CW
26,162323.0,19.91502241202346,CW
27,162324.0,19.90720408113392,CW
28,162325.0,19.8997078714565,CW
29,162326.0,19.8925337829912,CW
30,162327.0,19.885681815738025,CW
31,162328.0,19.87915196969697,CW
32,162329.0,19.872944244868034,CW
33,162330.0,19.867058641251223,CW
34,162331.0,19.86149515884653,CW
35,162332.0,19.85625379765396,CW
36,162333.0,19.85133455767351,CW
37,162334.0,19.84673743890518,CW
38,162335.0,19.842462441348975,CW
39,162336.0,19.838509565004887,CW
40,162337.0,19.829565358532598,CW
41,162338.0,19.820943273272427,CW
42,162339.0,19.812643309224377,CW
43,162340.0,19.80466546638845,CW
44,162341.0,19.797009744764644,CW
45,162342.0,19.789676144352956,CW
46,162343.0,19.782664665153394,CW
47,162344.0,19.77597530716595,CW
48,162345.0,19.76960807039063,CW
49,162346.0,19.763562954827428,CW
50,162347.0,19.75783996047635,CW
51,162348.0,19.752439087337393,CW
52,162349.0,19.747360335410555,CW
53,162350.0,19.74260370469584,CW
54,162351.0,19.738169195193247,CW
55,162352.0,19.73405680690277,CW
56,162353.0,19.73026653982442,CW
57,162354.0,19.72679839395819,CW
58,162355.0,19.72365236930408,CW
59,162356.0,19.72082846586209,CW
60,162357.0,19.718326683632224,CW
61,162358.0,19.71614702261448,CW
62,162359.0,19.714289482808855,CW
63,162360.0,19.71275406421535,CW
64,162361.0,19.71154076683397,CW
65,162362.0,19.71064959066471,CW
66,162363.0,19.702027567350925,CW
67,162364.0,19.693727665249263,CW
68,162365.0,19.685749884359723,CW
69,162366.0,19.678094224682305,CW
70,162367.0,19.670760686217005,CW
71,162368.0,19.66374926896383,CW
72,162369.0,19.657059972922774,CW
73,162370.0,19.65069279809384,CW
74,162371.0,19.644647744477027,CW
75,162372.0,19.638924812072336,CW
76,162373.0,19.633524000879763,CW
77,162374.0,19.628445310899313,CW
78,162375.0,19.623688742130987,CW
79,162376.0,19.61925429457478,CW
80,162377.0,19.61514196823069,CW
81,162378.0,19.611351763098728,CW
82,162379.0,19.607883679178887,CW
83,162380.0,19.604737716471163,CW
84,162381.0,19.601913874975562,CW
85,162382.0,19.599412154692082,CW
86,162383.0,19.597232555620725,CW
87,162384.0,19.595375077761485,CW
88,162385.0,19.59383972111437,CW
89,162386.0,19.592626485679375,CW
90,162387.0,19.5917353714565,CW
91,162388.0,19.582870146627567,CW
92,162389.0,19.574327043010754,CW
93,162390.0,19.56610606060606,CW
94,162391.0,19.55820719941349,CW
95,162392.0,19.55063045943304,CW
96,162393.0,19.543375840664712,CW
97,162394.0,19.536443343108505,CW
98,162395.0,19.529832966764417,CW
99,162396.0,19.523544711632454,CW
100,162397.0,19.51757857771261,CW
101,162398.0,19.511934565004886,CW
102,162399.0,19.506612673509284,CW
103,162400.0,19.501612903225805,CW
104,162401.0,19.496935254154447,CW
105,162402.0,19.492579726295208,CW
106,162403.0,19.488546319648094,CW
107,162404.0,19.4848350342131,CW
108,162405.0,19.481445869990225,CW
109,162406.0,19.47837882697947,CW
110,162407.0,19.47563390518084,CW
111,162408.0,19.473211104594327,CW
112,162409.0,19.47111042521994,CW
113,162410.0,19.469331867057672,CW
114,162411.0,19.467875430107526,CW
115,162412.0,19.466741114369498,CW
116,162413.0,19.465928919843595,CW
117,162414.0,19.45706369501466,CW
118,162415.0,19.44852059139785,CW
119,162416.0,19.440299608993154,CW
120,162417.0,19.432400747800585,CW
121,162418.0,19.424824007820135,CW
122,162419.0,19.417569389051806,CW
123,162420.0,19.4106368914956,CW
124,162421.0,19.404026515151514,CW
125,162422.0,19.397738260019548,CW
126,162423.0,19.391772126099706,CW
127,162424.0,19.386128113391983,CW
128,162425.0,19.380806221896382,CW
129,162426.0,19.375806451612902,CW
130,162427.0,19.37112880254154,CW
131,162428.0,19.366773274682306,CW
132,162429.0,19.362739868035188,CW
133,162430.0,19.359028582600192,CW
134,162431.0,19.35563941837732,CW
135,162432.0,19.352572375366567,CW
136,162433.0,19.349827453567936,CW
137,162434.0,19.347404652981425,CW
138,162435.0,19.345303973607038,CW
139,162436.0,19.34352541544477,CW
140,162437.0,19.342068978494623,CW
141,162438.0,19.340934662756595,CW
142,162439.0,19.340122468230692,CW
143,162440.0,19.33141492720317,CW
144,162441.0,19.323029507387773,CW
145,162442.0,19.314966208784494,CW
146,162443.0,19.307225031393337,CW
147,162444.0,19.2998059752143,CW
148,162445.0,19.292709040247384,CW
149,162446.0,19.285934226492593,CW
150,162447.0,19.27948153394992,CW
151,162448.0,19.273350962619368,CW
152,162449.0,19.26754251250094,CW
153,162450.0,19.26205618359463,CW
154,162451.0,19.25689197590044,CW
155,162452.0,19.252049889418377,CW
156,162453.0,19.24752992414843,CW
157,162454.0,19.243332080090607,CW
158,162455.0,19.239456357244904,CW
159,162456.0,19.23590275561132,CW
160,162457.0,19.232671275189862,CW
161,162458.0,19.22976191598052,CW
162,162459.0,19.227174677983307,CW
163,162460.0,19.22490956119821,CW
164,162461.0,19.22296656562523,CW
165,162462.0,19.22134569126438,CW
166,162463.0,19.220046938115647,CW
167,162464.0,19.219070306179034,CW
168,162465.0,19.218415795454543,CW
169,162466.0,19.209540719696967,CW
170,162467.0,19.200987765151513,CW
171,162468.0,19.19275693181818,CW
172,162469.0,19.184848219696967,CW
173,162470.0,19.17726162878788,CW
174,162471.0,19.169997159090908,CW
175,162472.0,19.16305481060606,CW
176,162473.0,19.156434583333333,CW
177,162474.0,19.150136477272724,CW
178,162475.0,19.14416049242424,CW
179,162476.0,19.138506628787876,CW
180,162477.0,19.133174886363634,CW
181,162478.0,19.128165265151512,CW
182,162479.0,19.123477765151513,CW
183,162480.0,19.119112386363636,CW
184,162481.0,19.115069128787876,CW
185,162482.0,19.111347992424243,CW
186,162483.0,19.107948977272727,CW
187,162484.0,19.104872083333333,CW
188,162485.0,19.102117310606058,CW
189,162486.0,19.099684659090908,CW
190,162487.0,19.097574128787876,CW
191,162488.0,19.09578571969697,CW
192,162489.0,19.09431943181818,CW
193,162490.0,19.093175265151515,CW
194,162491.0,19.092353219696967,CW
195,162492.0,19.091853295454545,CW
196,162493.0,19.082899180695847,CW
197,162494.0,19.07426718714927,CW
198,162495.0,19.065957314814813,CW
199,162496.0,19.05796956369248,CW
200,162497.0,19.050303933782267,CW
201,162498.0,19.042960425084175,CW
202,162499.0,19.035939037598204,CW
203,162500.0,19.029239771324356,CW
204,162501.0,19.022862626262626,CW
205,162502.0,19.016807602413017,CW
206,162503.0,19.011074699775534,CW
207,162504.0,19.00566391835017,CW
208,162505.0,19.000575258136923,CW
209,162506.0,18.995808719135802,CW
210,162507.0,18.991364301346803,CW
211,162508.0,18.98724200476992,CW
212,162509.0,18.983441829405162,CW
213,162510.0,18.979963775252525,CW
214,162511.0,18.97680784231201,CW
215,162512.0,18.973974030583612,CW
216,162513.0,18.97146234006734,CW
217,162514.0,18.969272770763187,CW
218,162515.0,18.967405322671155,CW
219,162516.0,18.965859995791245,CW
220,162517.0,18.964636790123457,CW
221,162518.0,18.96373570566779,CW
222,162519.0,18.963156742424243,CW
223,162520.0,18.95452480623543,CW
224,162521.0,18.946214991258742,CW
225,162522.0,18.938227297494173,CW
226,162523.0,18.930561724941725,CW
227,162524.0,18.9232182736014,CW
228,162525.0,18.916196943473192,CW
229,162526.0,18.90949773455711,CW
230,162527.0,18.903120646853147,CW
231,162528.0,18.897065680361305,CW
232,162529.0,18.891332835081585,CW
233,162530.0,18.885922111013986,CW
234,162531.0,18.880833508158506,CW
235,162532.0,18.876067026515152,CW
236,162533.0,18.871622666083915,CW
237,162534.0,18.8675004268648,CW
238,162535.0,18.86370030885781,CW
239,162536.0,18.860222312062938,CW
240,162537.0,18.857066436480185,CW
241,162538.0,18.854232682109554,CW
242,162539.0,18.85172104895105,CW
243,162540.0,18.849531537004662,CW
244,162541.0,18.847664146270393,CW
245,162542.0,18.84611887674825,CW
246,162543.0,18.844895728438228,CW
247,162544.0,18.843994701340325,CW
248,162545.0,18.843415795454543,CW
249,162546.0,18.834540719696967,CW
250,162547.0,18.825987765151513,CW
251,162548.0,18.81775693181818,CW
252,162549.0,18.809848219696967,CW
253,162550.0,18.80226162878788,CW
254,162551.0,18.794997159090908,CW
255,162552.0,18.78805481060606,CW
256,162553.0,18.781434583333333,CW
257,162554.0,18.775136477272724,CW
258,162555.0,18.76916049242424,CW
259,162556.0,18.763506628787876,CW
260,162557.0,18.758174886363634,CW
261,162558.0,18.753165265151512,CW
262,162559.0,18.748477765151513,CW
263,162560.0,18.744112386363636,CW
264,162561.0,18.740069128787876,CW
265,162562.0,18.736347992424243,CW
266,162563.0,18.732948977272727,CW
267,162564.0,18.729872083333333,CW
268,162565.0,18.727117310606058,CW
269,162566.0,18.724684659090908,CW
270,162567.0,18.722574128787876,CW
271,162568.0,18.72078571969697,CW
272,162569.0,18.71931943181818,CW
273,162570.0,18.718175265151515,CW
274,162571.0,18.717353219696967,CW
275,162572.0,18.716853295454545,CW
276,162573.0,18.707899180695847,CW
277,162574.0,18.69926718714927,CW
278,162575.0,18.690957314814813,CW
279,162576.0,18.68296956369248,CW
280,162577.0,18.675303933782267,CW
281,162578.0,18.667960425084175,CW
282,162579.0,18.660939037598204,CW
283,162580.0,18.654239771324356,CW
284,162581.0,18.647862626262626,CW
285,162582.0,18.641807602413017,CW
286,162583.0,18.636074699775534,CW
287,162584.0,18.63066391835017,CW
288,162585.0,18.625575258136923,CW
289,162586.0,18.620808719135802,CW
290,162587.0,18.616364301346803,CW
291,162588.0,18.61224200476992,CW
292,162589.0,18.608441829405162,CW
293,162590.0,18.604963775252525,CW
294,162591.0,18.60180784231201,CW
295,162592.0,18.598974030583612,CW
296,162593.0,18.59646234006734,CW
297,162594.0,18.594272770763187,CW
298,162595.0,18.592405322671155,CW
299,162596.0,18.590859995791245,CW
300,162597.0,18.589636790123457,CW
301,162598.0,18.58873570566779,CW
302,162599.0,18.588156742424243,CW
303,162600.0,18.58186855623543,CW
304,162601.0,18.57590249125874,CW
305,162602.0,18.570258547494173,CW
306,162603.0,18.564936724941724,CW
307,162604.0,18.5599370236014,CW
308,162605.0,18.555259443473194,CW
309,162606.0,18.55090398455711,CW
310,162607.0,18.546870646853147,CW
311,162608.0,18.543159430361307,CW
312,162609.0,18.539770335081585,CW
313,162610.0,18.536703361013984,CW
314,162611.0,18.53395850815851,CW
315,162612.0,18.531535776515152,CW
316,162613.0,18.529435166083914,CW
317,162614.0,18.5276566768648,CW
318,162615.0,18.52620030885781,CW
319,162616.0,18.525066062062937,CW
320,162617.0,18.524253936480186,CW
321,162618.0,18.523763932109556,CW
322,162619.0,18.52359604895105,CW
323,162620.0,18.52375028700466,CW
324,162621.0,18.524226646270396,CW
325,162622.0,18.52502512674825,CW
326,162623.0,18.526145728438227,CW
327,162624.0,18.527588451340325,CW
328,162625.0,18.529353295454545,CW
329,162626.0,18.525086680695846,CW
330,162627.0,18.52114218714927,CW
331,162628.0,18.517519814814815,CW
332,162629.0,18.51421956369248,CW
333,162630.0,18.511241433782267,CW
334,162631.0,18.508585425084174,CW
335,162632.0,18.506251537598203,CW
336,162633.0,18.504239771324354,CW
337,162634.0,18.502550126262626,CW
338,162635.0,18.501182602413017,CW
339,162636.0,18.500137199775534,CW
340,162637.0,18.499413918350168,CW
341,162638.0,18.499012758136924,CW
342,162639.0,18.498933719135803,CW
343,162640.0,18.4991768013468,CW
344,162641.0,18.49974200476992,CW
